created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Oct 27 14:16:34 +0000 2023;1717908150605717892;"Bakal calon presiden (bacapres) dari Koalisi Perubahan Anies Baswedan menanti kesediaan mantan ketua umum Pengurus Pusat (PP) Muhammadiyah Din Syamsud... https://t.co/lMgXtyVUzq";0;0;2;7;in;46693036;1717908150605717892;inilahdotcom;https://twitter.com/inilahdotcom/status/1717908150605717892
Fri Oct 27 13:10:25 +0000 2023;1717891501651558692;"Bacapres Koalisi Perubahan Muhaimin Iskandar (Cak Imin) (@cakiminow) menyebut telah mengajak dan berharap Susi Pudjiastuti (@susipudjiastuti115) bisa bergabung dalam timses pemenangannya bersama Anies Baswedan (@aniesbaswedan) di Pilpres 2024.";0;1;0;0;in;798770586784702464;1717888890399273137;pinterpolitik;https://twitter.com/pinterpolitik/status/1717891501651558692
Fri Oct 27 10:30:00 +0000 2023;1717851133266342283;"#InfoGen1031FM Bacapres Anies Baswedan berjanji bakal mengembangkan Bahasa Indonesia jika ia terpilih menjadi Presiden 2024. Anies ingin menargetkan kosa kata di KBBI menjadi 250 ribu kosa kata dalam waktu lima tahun ke depan.";0;0;0;0;in;124402522;1717851133266342283;gen1031fmsby;https://twitter.com/gen1031fmsby/status/1717851133266342283
Fri Oct 27 08:57:21 +0000 2023;1717827813208973620;"Tiga  bacapres dan bacawapres yakni Anies Baswedan-Muhaimin Iskandar, Ganjar  Pranowo-Mahfud MD dan Prabowo Subianto-Gibran Rakabuming Raka dinyatakan  mampu menjalankan tugas sebagai presiden-wakil presiden serta bebas  penyalahgunaan narkoba.  #teskesehatancaprescawapres https://t.co/5RnbGQ28dL";0;0;0;0;in;902837643024539651;1717827813208973620;medcom_id;https://twitter.com/medcom_id/status/1717827813208973620
Fri Oct 27 04:37:39 +0000 2023;1717762458725822596;"Bacapres 2024 Anies Baswedan menghadiri Pameran Seni Melayu di Jakarta. Anies menekankan pentingnya mengembangkan dan tidak menyepelekan bahasa Indonesia. Sebab penggunaan bahasa persatuan yaitu bahasa Indonesia saat ini merupakan perjuangan sejarah pemuda-pemudi terdahulu.… https://t.co/s1IQJjgC3S";0;0;0;14;in;57261519;1717762458725822596;Metro_TV;https://twitter.com/Metro_TV/status/1717762458725822596
Fri Oct 27 00:07:36 +0000 2023;1717694500913680780;"Bacapres Anies Baswedan Janji Kembangkan Kosakata Bahasa Indonesia https://t.co/RmGEG0ml0Q";0;3;0;4;in;71436318;1717694500913680780;KompasTV;https://twitter.com/KompasTV/status/1717694500913680780
Thu Oct 26 14:27:33 +0000 2023;1717548526056726583;"Muhaimin mengaku ingin Susi bergabung menjadi anggota tim pemenangannya dan bakal calon presiden (bacapres) Koalisi Perubahan Anies Baswedan. https://t.co/ypxZSv8HmA";1;3;3;21;in;23343960;1717548526056726583;kompascom;https://twitter.com/kompascom/status/1717548526056726583
Thu Oct 26 09:15:52 +0000 2023;1717470088998359056;"Adapun sebelum bergabung dengan KIM, Demokrat terlebih dahulu berada di gerbong Koalisi Perubahan yang mendukung Anies Baswedan sebagai bacapres 2024. #BersamaPrabowoGibran #MenataMasaDepan Prabowo Subianto";0;1;0;0;in;1614854441127284737;1717470073747820790;alfisahdinardi;https://twitter.com/alfisahdinardi/status/1717470088998359056
Thu Oct 26 09:04:13 +0000 2023;1717467154201854240;"#BeritaPemiluMetroTV Bacapres @aniesbaswedan menghadiri pengukuhan ke 100 Tim Barkosi relawan Anies-Muhaimin di Tangerang Raya, dalam kegiatan ini lebih dari 4.000 orang hadir menyambut Anies Baswedan. Streaming:  https://t.co/9jRfiEuOZV https://t.co/mpr59yYFCp";0;2;3;16;in;57261519;1717467154201854240;Metro_TV;https://twitter.com/Metro_TV/status/1717467154201854240
Thu Oct 26 07:53:03 +0000 2023;1717449244192522645;"Bakal calon presiden (bacapres) Koalisi Perubahan, Anies Baswedan (@aniesbaswedan) membantah dirinya terlibat dalam politik identitas. Justru ia menegaskan bahwa yang menggiring isu tersebut adalah awak media sendiri.  “Anda yang mengisukan, kita enggak pernah. Anda yang… https://t.co/oIlrtXfMET";0;1;6;15;in;46693036;1717449244192522645;inilahdotcom;https://twitter.com/inilahdotcom/status/1717449244192522645
Thu Oct 26 07:12:58 +0000 2023;1717439159412088939;"Adapun sebelum bergabung dengan KIM, Demokrat terlebih dahulu berada di gerbong Koalisi Perubahan yang mendukung Anies Baswedan sebagai bacapres 2024. #BersamaPrabowoGibran #MenataMasaDepan Prabowo Subianto";0;1;0;0;in;1287936042750758912;1717439143960334784;mercifulove;https://twitter.com/mercifulove/status/1717439159412088939
Thu Oct 26 04:38:11 +0000 2023;1717400203836407818;"Bacapres Anies Baswedan yakin Presiden Jokowi netral. https://t.co/ns6OyEQSsE https://t.co/Q8qswtRCco";0;0;0;1;in;3306771829;1717400203836407818;CNNIDdaily;https://twitter.com/CNNIDdaily/status/1717400203836407818
Thu Oct 26 02:04:34 +0000 2023;1717361546865897674;"@PDemokrat Seharusnya SBY dan AHY bisa menaruh Hormat kepada Anies Baswedan yang telah ditunjuk sebagai baCapres oleh Nasdem dalam mengambil keputusan apapun termasuk memilih wakilnya. Keputusan yang diambil oleh baCapres menentukan wakilnya juga harus dihormati ~ as you said #hening";0;4;4;35;in;780554097388687360;1717343407532830738;asboediono_id;https://twitter.com/asboediono_id/status/1717361546865897674
Wed Oct 25 18:25:12 +0000 2023;1717245943362605409;"Rayakan Hari Santri Nasional, Bacapres Anies Baswedan Minta Dukungan Jelang Pilpres 2024! https://t.co/8SPcDqSCqZ";1;0;1;11;in;71436318;1717245943362605409;KompasTV;https://twitter.com/KompasTV/status/1717245943362605409
Wed Oct 25 13:23:47 +0000 2023;1717170090846876018;"Bacapres Anies Baswedan resmikan Bakorsi atau Badan Koordinasi Saksi seTangerang Raya pasangan Bacapres Anies  dan Muhaimin di Villa Dago Pamulang Kota Tangsel , Rabu (25/10).   Anies mengapresiasi Bakorsi sehingga relawan dan penggiat partai memiliki tempat untuk berkumpul… https://t.co/moN4suQYtQ";1;1;3;20;in;121640063;1717170090846876018;RadioElshinta;https://twitter.com/RadioElshinta/status/1717170090846876018
Wed Oct 25 09:33:23 +0000 2023;1717112106804535778;"Bakal calon presiden (bacapres) Koalisi Perubahan, Anies Baswedan mengatakan negara harus memberikan kesetaraan terhadap santri ataupun pesantren.   Anies menegaskan, santri dan lembaga pendidikan seperti pesantren harus mendapat kesetaraan kesempatan untuk maju dan memiliki masa… https://t.co/G514XC5Z2T";3;6;46;204;in;55507370;1717112106804535778;tvOneNews;https://twitter.com/tvOneNews/status/1717112106804535778
Wed Oct 25 05:02:50 +0000 2023;1717044019505848704;"Bacapres Anies Baswedan mengawali rangkaian kegiatannya di Yogyakarta-Magelang dengan memberikan kuliah umum di Kampus Pendidikan Ulama Tarjih Muhammadiyah (PUTM) Kaliurang Yogyakarta, Senin 23 Oktober 2023. https://t.co/olw5G7Rewl";0;2;5;33;in;1481296968731459592;1717044019505848704;KabarMuh_ID;https://twitter.com/KabarMuh_ID/status/1717044019505848704
Wed Oct 25 01:29:55 +0000 2023;1716990437347762230;"@ariel_heryanto kalo gak sukak, ngamuk duluan.. jelasnya "Bacapres Koalisi Perubahan, Anies Baswedan, mengungkapkan salah satu penyebab korupsi terjadi di Indonesia adalah gaji Pegawai Negeri Sipil (PNS) yang rendah. Dengan pendapatan yang kecil, sebagian abdi negara kesulitan untuk bertahan.."";0;0;0;0;in;1604336540598968320;1716961196832940034;surabioncomamis;https://twitter.com/surabioncomamis/status/1716990437347762230
Tue Oct 24 23:46:50 +0000 2023;1716964496781041879;"Sebanyak dua bakal calon presiden (bacapres) Indonesia yaitu Anies Baswedan dan Ganjar pranowo menyampaikan gagasan mereka terkait perekonomian Indonesia. https://t.co/A8qMukiHSQ";0;0;1;0;in;135795460;1716964496781041879;detikfinance;https://twitter.com/detikfinance/status/1716964496781041879
Tue Oct 24 23:35:04 +0000 2023;1716961538102448364;"Simulasi Bacapres teratas pasca -putusan MK, Djayadi mengatakan Prabowo Subianto tetap unggul dan disusul oleh Ganjar juga Anies Baswedan.  Berikut hasilnya: Prabowo Subianto 35,8% Ganjar Pranowo 30,9% Dan Anies Baswedan 19,7%  TT/TJ 13,6% https://t.co/MItTnxbs0p";3;5;13;23;in;1469280329093373956;1716961538102448364;putri_Aalona;https://twitter.com/putri_Aalona/status/1716961538102448364
Tue Oct 24 15:47:36 +0000 2023;1716843894804201501;"Bacapres Koalisi Perubahan, Anies Baswedan, mengungkapkan salah satu penyebab korupsi terjadi di Indonesia adalah gaji Pegawai Negeri Sipil (PNS) yang rendah. Dengan pendapatan yang kecil, sebagian abdi negara kesulitan untuk bertahan. @kumparan";0;0;0;0;in;2263677272;1716843894804201501;fendi_tungkal;https://twitter.com/fendi_tungkal/status/1716843894804201501
Tue Oct 24 13:22:50 +0000 2023;1716807463566270849;"Perang Dingin Menag Yaqut-Cak Imin  Hal ini bermula dari pernyataan Menag Yaqut terkait Pilpres 2024 yang diduga menyindir bacapres Anies Baswedan dan bacawapres Cak Imin. &lt  #CakImin #YaqutCholilQoumas #MenagYaqut https://t.co/d3KKkoOaF4";0;2;2;3;in;23343960;1716807463566270849;kompascom;https://twitter.com/kompascom/status/1716807463566270849
Tue Oct 24 13:16:50 +0000 2023;1716805954170458565;"*Bacapres Anies Baswedan Dapat Doa Dukungan Dari Said Aqil Sirajd*  https://t.co/Wun8IdLG9A";0;0;0;0;in;1450818985503571969;1716805954170458565;romyfanboy;https://twitter.com/romyfanboy/status/1716805954170458565
Tue Oct 24 13:15:34 +0000 2023;1716805634891395422;"Bacapres Koalisi Perubahan, Anies Baswedan, mengungkapkan salah satu penyebab korupsi terjadi di Indonesia adalah gaji Pegawai Negeri Sipil (PNS) yang rendah. Dengan pendapatan yang kecil, sebagian abdi negara kesulitan untuk bertahan. #bisnisupdate #update #bisnis #storyshot https://t.co/YdwCtsbSFJ";346;1252;378;2471;in;759692754985242625;1716805634891395422;kumparan;https://twitter.com/kumparan/status/1716805634891395422
