created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Jun 27 04:33:29 +0000 2023;1673550090269753344;"1. Satu dari sekian banyak nama yang disebut-sebut berpotensi menjadi pendamping Bacapres PDI Perjuangan Ganjar Pranowo adalah TGB HM Zainul Majdi atau akrab disapa TGB. Siapa TGB? Cc @Ganjar_TGB2024  #tgb  #tuangurubajang  #ganjarpranowo #pemimpinindonesia #pilpres2024 https://t.co/A1djP6FIk1";1;2;14;11;in;1607340555805265921;1673550090269753344;FaqirFebrian;https://twitter.com/FaqirFebrian/status/1673550090269753344
Tue Jun 27 04:25:58 +0000 2023;1673548199502704640;"🇮🇩 Lembaga survei Populi merilis hasil survei terkait dgn elektabilitas tokoh yg potensial menjadi capres pd Pilpres 2024. Tercatat, Bacapres PDIP @ganjarpranowo berada di posisi pertama menyalip @prabowo yg sempat unggul bulan lalu.  https://t.co/LmC1HbIO9d";0;0;0;1;in;754652093672067072;1673548199502704640;Kosimatkasah;https://twitter.com/Kosimatkasah/status/1673548199502704640
Tue Jun 27 04:19:43 +0000 2023;1673546627594989569;"@ChuckMonth @Desto11879838 @HusinShihab @ganjarpranowo Bisa dikatakan aktivitas pak @ganjarpranowo di tempat lain itu sangat intens dan masif, aktif di banding bacapres lain lho... Padahal masa kampanye (pencitraan) belum resmi dimulai...";0;0;0;0;in;1575861726028759040;1673226394124574720;PakBudi31571035;https://twitter.com/PakBudi31571035/status/1673546627594989569
Tue Jun 27 04:17:52 +0000 2023;1673546163310706688;"#NONGIBUL-&gt  Tanpa KOAR KOIR BACAPRES (Presiden 2024-2029, InsyaAllah) @Ganjar Pranowo disambut oleh UTUSAN KERAJAAN Saudy Arabia. BETUL apa BETUL?";0;0;2;4;in;1623879071104106496;1673546163310706688;SyahrifulP;https://twitter.com/SyahrifulP/status/1673546163310706688
Tue Jun 27 04:17:10 +0000 2023;1673545985405100032;"@ChuckMonth @Desto11879838 @HusinShihab @ganjarpranowo Pencitraan juga nggak apa2 kok,, nggak dilarang... Semua bacapres juga melakukan itu tak terkecuali si anis juga melakukan itu.  Cuma nggak elok (etis) saja blusukan di tempat orang yg notabene masih berstatus pejabat aktif di wilayahnya sendiri yg masih sangat butuh perhatian.";0;0;0;0;in;1575861726028759040;1673226394124574720;PakBudi31571035;https://twitter.com/PakBudi31571035/status/1673545985405100032
Tue Jun 27 04:10:03 +0000 2023;1673544194462461952;"Pidato Bacapres @PDI_Perjuangan @puanmaharani_ri @ganjarpranowo Ganjar Pranowo Pada Puncak Peringatan Bulan Bung Karno 2023 https://t.co/kmvRiXEOuQ";0;0;0;1;in;1488882772739432451;1673544194462461952;GpmnMedia;https://twitter.com/GpmnMedia/status/1673544194462461952
Tue Jun 27 03:30:40 +0000 2023;1673534281212366849;"Bakal calon presiden (bacapres) dari PDIP Ganjar Pranowo bertemu dengan bacapres Koalisi Perubahan untuk Persatuan (KPP) Anies Baswedan di Arab Saudi. Keduanya diketahui tengah melaksanakan ibadah haji.  Terlihat keluarga besar Anies dan Ganjar saling berfoto bersama. Selain… https://t.co/0n9QxIq61O";32;77;94;663;in;46693036;1673534281212366849;inilahdotcom;https://twitter.com/inilahdotcom/status/1673534281212366849
Tue Jun 27 03:03:15 +0000 2023;1673527384904175618;"Ganjar Pranowo bertemu dengan Anies Baswedan di sela-sela melaksanakan Ibadah Haji, Arab Saudi. Kedua bacapres ini foto bersama dengan mengenakan kain ihram putih sambil tersenyum.   #ganjarpranowo #aniesbaswedan #ibadahhaji #infohaji #haji2023 #arabsaudi #capres2024 #pilpres2024 https://t.co/4saMwbTZI4";0;0;0;2;in;2393930923;1673527384904175618;lensaRTV;https://twitter.com/lensaRTV/status/1673527384904175618
Tue Jun 27 02:17:32 +0000 2023;1673515880343564288;"@mohamme75641056 @echoPiR @ganjarpranowo Secara etika politik, itu sudah kurang pas mas. Karena masih melekat jabatan, bacapres yg diusung partai belum mendaftar ke KPU, beda jika sudah mendaftar. Ini masih bisa digantikan capres yg lain,karena belum resmi.Kalau mau elegan slesain dulu jateng atau kayak wakilnya,mundur.";0;0;0;0;in;911093639446593536;1673155119381356544;van_all_;https://twitter.com/van_all_/status/1673515880343564288
Tue Jun 27 02:05:36 +0000 2023;1673512875749699584;"Bacapres PDIP @ganjarpranowo untuk semua kalangan!  Bahkan Ganjar membaur dengan pemuda2 dari kalangan gen z, influencer, hingga aktor.  Tak ad batas, dialog dilakukan, bertukar pikiran, berbagi pengalaman.  Maldini Pagi Sore Bobo Seumuran Mimin Peri Raja Salman Alwi Recruitment https://t.co/NOeJ2QRKd6";0;4;34;60;in;1057158238779539456;1673512875749699584;catatankaqihati;https://twitter.com/catatankaqihati/status/1673512875749699584
Tue Jun 27 02:00:56 +0000 2023;1673511702929854465;"Bacapres PDIP Ganjar Pranowo, bertemu dengan bacapres Koalisi Perubahan untuk Persatuan (KPP) Anies Baswedan di Arab Saudi. Keduanya bertemu di sela-sela melaksanakan ibadah haji. #newsupdate #update #news #jejakhajikumparan https://t.co/GT90wNrL09 https://t.co/TNUDDP4BDG";6;6;6;51;in;759692754985242625;1673511702929854465;kumparan;https://twitter.com/kumparan/status/1673511702929854465
Tue Jun 27 01:14:53 +0000 2023;1673500111698292737;"@HusinShihab @ganjarpranowo Saya malah lebih heran lagi kok si Ganjar bingung dia dibully. Jelas-jelas dia tidak beretika ketika berkunjung ke daerah orang lain. Memangnya dia siapa? Dia cuma gubernur yg selevel dg Heru. Dia baru jadi bacapres belum jadi presiden.";0;0;0;0;in;2881653068;1673226394124574720;AGoeci;https://twitter.com/AGoeci/status/1673500111698292737
